jed,vrsta,cas priprave [min],zahtevnost,kolicina,st. porcij,avtor,datum,leto
Nadevan piščanec,perutnina,,3,za 4 osebe,4,sarabande,7.10.2005,2005
Puranji zvitki,perutnina,45,1,4,4,anamarija1,7.10.2005,2005
Slastna jetrca,notranji deli,,2,3,3,Trixi,6.10.2005,2005
Polnjeni piščančji file,perutnina,,3,2,2,Trixi,6.10.2005,2005
Mesni burek,sesekljano meso,,4,3,3,anja,6.10.2005,2005
Goveji golaž,govedina,,3,,,kity,5.10.2005,2005
Sesekljani  zrezki,sesekljano meso,,2,za 4 osebe,4,sarabande,3.10.2005,2005
Puhasti pariški zrezki,perutnina,,2,3,3,anja,2.10.2005,2005
Palačinke z mletim mesom,sesekljano meso,,2,,,effa,2.10.2005,2005
Mesni rogljiči,sesekljano meso,,2,5 kosov,5,gligor,29.9.2005,2005
Piščanec z banano,perutnina,30,2,1 oseba,1,sonchika,28.9.2005,2005
Piščanec z gorčico v alu - foliji,perutnina,,1,za 4 osebe,4,kocka,23.9.2005,2005
Italijanski piščančji fileji,perutnina,30,2,4 osebe,4,sonchika,20.9.2005,2005
Odojek malo drugače,svinjina,,2,,,Riko,19.9.2005,2005
Puranji zrezki v mandljevi omaki,perutnina,,2,za 4 osebe,4,sarabande,14.9.2005,2005
Narastek z mletim mesom in pirejem,sesekljano meso,,1,4,4,karmenslo,14.9.2005,2005
"Puran z banano, jabolki in kokosom",perutnina,,1,4 osebe,4,karmenslo,10.9.2005,2005
Mesno - zelenjavni kaneloni,sesekljano meso,60,1,4,4,anamarija1,4.9.2005,2005
Kity - mesne kroglice s sirom,govedina,,3,,,kity,30.8.2005,2005
Goveji zrezek po bavarsko,govedina,,3,za 4 osebe,4,sarabande,14.8.2005,2005
Zajec v omaki z zeliščnimi zdrobovimi kroglicami,ostalo,,3,za 4 osebe,4,sarabande,3.8.2005,2005
Kunčja pašteta,ostalo,,3,5 oseb,5,edis,1.8.2005,2005
Paella,ostalo,,3,7-8 oseb,8,karmenslo,26.7.2005,2005
Zrezki v smetanovi omaki,svinjina,30,2,2,2,sonchika,23.7.2005,2005
Drugačni zrezki,perutnina,,2,2,2,Gajuska,17.7.2005,2005
Piščančji zrezki alla Petra,perutnina,,2,,,petramark,15.7.2005,2005
Svinjski zrezki v naravni omaki,svinjina,,2,za 2 osebi,2,petramark,14.7.2005,2005
Piščančji zrezki z zeliščnim maslom,perutnina,,2,za 2 osebi,2,petramark,13.7.2005,2005
Govedina z vegeto,govedina,,1,,,lmiran,9.7.2005,2005
Piščančji paprikaš - s svežo papriko,perutnina,,3,6 oseb,6,lmiran,8.7.2005,2005
Govedina Stroganov,govedina,,4,4 osebe,4,Marinka,7.7.2005,2005
Pica,ostalo,,2,6,6,čokoladka,5.7.2005,2005
Piščanec po kijevsko,perutnina,,3,4 osebe,4,Marinka,5.7.2005,2005
Blini na razne načine,ostalo,,2,4 osebe,4,Marinka,1.7.2005,2005
Svinjski file z zelenjavo,svinjina,,2,za 2 osebi,2,janca,28.6.2005,2005
Jetrna pašteta po rusko,ostalo,,2,4 osebe,4,Marinka,25.6.2005,2005
Ocvrt piščanec,perutnina,,2,za štiri osebe,,Tulipa,23.6.2005,2005
Aromatična telečja pečenka,teletina,,3,za 8 oseb,8,sarabande,17.6.2005,2005
Kislo zelje s suhim mesom in kuhanim krompirjem,ostalo,,2,za 4 osebe,4,sarabande,12.6.2005,2005
Piščančja prsa v omaki,perutnina,,2,za 4 osebe,4,sarabande,9.6.2005,2005
Puranji zrezki nadevani z bučkami v omaki iz lisičk,perutnina,,3,za 4 osebe,4,sarabande,5.6.2005,2005
Goveji golaž,govedina,120,2,za 8 oseb,8,sarabande,3.6.2005,2005
Zrezek na krompirjevi palačinki,govedina,,2,2,2,julia,17.5.2005,2005
Svinjske zarebrnice z rdečim vinom in gobami,svinjina,,2,za 4 osebe,4,sarabande,15.5.2005,2005
Polnjene paprike malo drugače,sesekljano meso,,2,,,Galadriel,13.5.2005,2005
Tatarski biftek moje tašče,teletina,,3,,,Luna70,10.5.2005,2005
Piščanec s pehtranom,perutnina,45,3,4 osebe,4,Julya,4.5.2005,2005
Piščančja bedra v omaki z gobami in pehtranom,perutnina,,3,za 4 osebe,4,sarabande,30.4.2005,2005
Jetrca na venecijanski način,notranji deli,,3,3/4 kg,,mizica,28.4.2005,2005
Zajec v korenčku,divjačina,,2,,,mizica,28.4.2005,2005
Jagnje v jogurtu,drobnica,,2,6 oseb,6,slovenica,27.4.2005,2005
Pečena piščančja bedrca s papriko,perutnina,,3,za kosilo v dvoje,,tjas,17.4.2005,2005
Jelenja pečenka,divjačina,150,3,,,JelkaF,6.10.2014,2014
Hitri puranji polpeti,perutnina,30,2,15 polpetov,,Valchxy,3.10.2014,2014
Domači piščančji namaz,perutnina,60,1,1 l piščančjega namaza,,April is cooking,30.9.2014,2014
"Polnjeni paradižniki z mozzarello, s piščančjim mesom in z rižem",perutnina,45,2,pekač,,April is cooking,30.9.2014,2014
Blitvini zvitki ali blitvine »sarmice« ,mešano meso,45,2,pekač,,April is cooking,30.9.2014,2014
Žličniki v okusni puranovi omaki ,perutnina,45,2,Za 4 osebe,4,April is cooking,22.9.2014,2014
Jelenov osso buco ,divjačina,120,3,,,mira5,22.9.2014,2014
Puranja pogača,perutnina,90,3,4-6,5,Saly,17.9.2014,2014
Govedina kuhana v rdečem vinu,govedina,180,2,4 osebe,4,Vitta,17.9.2014,2014
Mariniran in nadevan pečen piščanec ,perutnina,90,2,Za 4 osebe,4,April is cooking,17.9.2014,2014
Tortilje s piščančjim mesom in papriko,perutnina,30,2,6 tortilj,,tweety7,16.9.2014,2014
Kuskus malo drugače,sesekljano meso,15,2,3-4 osebe,4,katja krašovec,11.9.2014,2014
Kotlet s pistacijo in krompirjevimi hrbti,svinjina,,2,Za 4 osebe,4,DROT,4.4.2005,2005
Mesni zvitki,mešano meso,,2,,,kokos,2.4.2005,2005
Jelenov golaž,divjačina,,2,6,6,pinki,31.3.2005,2005
Moj goveji golaž,govedina,180,3,5 - 6 oseb,6,Julya,29.3.2005,2005
Puranji zvitek z mocarelo in špinačo,perutnina,,2,Za 4 osebe,4,DROT,29.3.2005,2005
Mlada jagnjetina,drobnica,,2,6,6,julia,27.3.2005,2005
Jagnjetina z olivami,drobnica,,2,4,4,julia,27.3.2005,2005
Jagnjetina v juhi,drobnica,,2,4,4,julia,27.3.2005,2005
Mrzla piščančja solata,perutnina,,1,,,dalsi,26.3.2005,2005
Kotleti jagenjčka s suhimi slivami,drobnica,,3,,,anja,22.3.2005,2005
Puran z jurčki in bučkami,perutnina,,1,Za 4 osebe,4,DROT,19.3.2005,2005
Puranji zvitki z bučko in sirom,perutnina,,3,2,2,tjas,19.3.2005,2005
Puranji zrezek - Migla,perutnina,,2,4 osebe,4,Migla,18.3.2005,2005
Žolca,ostalo,,2,,,Riko,14.3.2005,2005
Mesne kroglice v omaki,sesekljano meso,,1,,,kokos,7.3.2005,2005
Piščančji file z origanom in sirom,perutnina,,2,,,miram,5.3.2005,2005
Mesni miks,svinjina,,1,4,4,pinki,4.3.2005,2005
Mesni zalogajčki,svinjina,,3,4 osebe,4,biba,4.3.2005,2005
Golaž iz pečice,govedina,,3,,,ddarinka,3.3.2005,2005
Piščančja jetrca mediteran,notranji deli,,1,4,4,pinki,24.2.2005,2005
Poprovo meso,govedina,,3,,,Riko,22.2.2005,2005
Šarenac - burek,sesekljano meso,,2,4-5,5,pusnikb,21.2.2005,2005
Leskovska tresenka,svinjina,,2,Za 4 osebe,4,emulej,19.2.2005,2005
Gaberski zmaj,perutnina,,2,za 2 osebi (prsa in pol),,zefokuh,16.2.2005,2005
Piščančji zrezki v šampinjonovi omaki,perutnina,,1,za 4 osebe,4,kokos,13.2.2005,2005
Svinjski kare s kislim zeljem,svinjina,,2,4,4,galja,12.2.2005,2005
Marinirane puranje tačke,perutnina,,2,za 2 osebi,2,tjas,10.2.2005,2005
Hrustljav piščanec z jabolki,perutnina,,2,4 osebe,4,Trixi,4.2.2005,2005
Goveji golaž,govedina,,1,6,6,pinki,1.2.2005,2005
Piščančji paprikaš moje mame,perutnina,,2,4-6,5,,29.1.2005,2005
Pikantna bedrca,perutnina,,1,,,galja,27.1.2005,2005
Piščanec z limono in zelišči,perutnina,,2,4,4,julia,21.1.2005,2005
Piščančja prsa po kraško,perutnina,,3,2 kos,2,,17.1.2005,2005
Mesno - zelenjavna bela ponev,ostalo,,1,4,4,Lucijica,15.1.2005,2005
Piščanec a la Noelle,perutnina,,2,4,4,julia,15.1.2005,2005
Govedina s cmoki po irsko,govedina,,1,6 oseb,6,julia,14.1.2005,2005
Svinjska glava za najdaljšo noč,ostalo,,1,,,LARYS,13.1.2005,2005
Svinjski srčki v omaki,notranji deli,,3,za 2 osebi,2,LARYS,12.1.2005,2005
Palačinke s puranovim mesom,perutnina,,2,4 osebe,4,nina.zaler,9.1.2005,2005
Svinjska ribica v testu,svinjina,,2,,,Speranza,9.1.2005,2005
Svinjski kare v omaki,svinjina,,2,,,galja,5.1.2005,2005
Poceni lazanja,sesekljano meso,,3,,,,4.1.2005,2005
Polpeti s sirom,sesekljano meso,,3,4 osebe,4,Marinka,31.12.2004,2004
Puranovi zrezki s sirom,perutnina,,3,4 osebe,4,Marinka,31.12.2004,2004
Govedina na hitro,govedina,,1,,,galja,27.12.2004,2004
Makaronovo meso,govedina,,1,,,ninca,16.12.2004,2004
Goveja pečenka v omaki,govedina,,3,,,Riko,8.12.2004,2004
Meso Tunka,svinjina,,1,,,pinki,5.12.2004,2004
Ombolo v testu,svinjina,,3,1 štručka,,TanjaG.,5.12.2004,2004
Flambiran ramstek,govedina,,1,4,4,genij,22.11.2004,2004
Kleftiko,drobnica,,3,4 osebe,4,Marinka,18.11.2004,2004
Lovska klobasa,koline,,3,,,genij,16.11.2004,2004
Goveji golaž,govedina,,1,,,genij,16.11.2004,2004
Jelenov hrbet z jurčki in kostanjem,divjačina,,3,1 oseba,1,jajo1,8.11.2004,2004
Domača loparnica,svinjina,,1,,,biba,7.11.2004,2004
Kranjska klobasa,koline,,1,,,genij,3.11.2004,2004
Ciganski zrezki,svinjina,,1,4 osebe,4,pinki,1.11.2004,2004
Panirani možgani,notranji deli,,3,8 kosov,8,bgajo,27.10.2004,2004
Puranji zrezki - ocvrti,perutnina,,1,,,Riko,25.10.2004,2004
Tržiška bržola,ostalo,,3,ZA 6 oseb,6,psonja1,23.10.2004,2004
Jagnječja jetra po grško,drobnica,,1,5 oseb,5,Marinka,22.10.2004,2004
Zrezki s cimetom po dunajsko,svinjina,,1,,,anja,21.10.2004,2004
Grški  zeljnati zvitki,drobnica,,3,6 oseb,6,Marinka,21.10.2004,2004
Piščanec pečen na soli,perutnina,,1,,,osmica,20.10.2004,2004
Starinska pečenka s čebulo,govedina,,3,Za slavnostno kosilo,,psonja1,19.10.2004,2004
Puranji zvitki,perutnina,,3,,,galja,19.10.2004,2004
Kotleti po gabersko,svinjina,,1,,,zefokuh,18.10.2004,2004
Kefalonska mesna pita,mešano meso,,1,,,Marinka,16.10.2004,2004
Golaž s kostanji,govedina,,3,ZA 4 OSEBE,4,psonja1,15.10.2004,2004
Bograč,ostalo,,3,10 oseb,10,pikii,14.10.2004,2004
Moji kaneloni,mešano meso,,3,,,anja,13.10.2004,2004
Pražena svinjska jetrca,notranji deli,,3,,,galja,11.10.2004,2004
Piščančja pašteta,perutnina,,3,,,galja,10.10.2004,2004
Tatarski biftek,govedina,,3,,,galja,10.10.2004,2004
Telečje rulade z dišavnicami,teletina,,1,za 6 oseb,6,sarabande,9.10.2004,2004
Saltimbocca,teletina,,3,za 4 lačne osebe,,psonja1,5.10.2004,2004
Polpeti iz mletega mesa in bučk,ostalo,,2,,,lidka,2.10.2004,2004
Goveji zrezki v omaki,govedina,,1,,,Dragička,26.9.2004,2004
Ocvrti zrezki po moje,mešano meso,,1,4,4,Maja Z,21.9.2004,2004
Piščančja bedra za veselo družbo,perutnina,,3,20 oseb,20,coco chanel,21.9.2004,2004
Musaka iz ocvrtih paprik,sesekljano meso,,3,,,coco chanel,20.9.2004,2004
Mamina mesna štruca,sesekljano meso,,3,,,vcibej,19.9.2004,2004
Puranje prsi z lisičkami,ostalo,,3,,,Riko,16.9.2004,2004
Zrezki v omaki,perutnina,,3,,,galja,11.9.2004,2004
Mesna požrtija,ostalo,,3,,,CHOCHOLADKA,9.9.2004,2004
Puran v zelenjavni družbi,perutnina,,3,4,4,stanka,18.8.2004,2004
Polnjeni svinjski zrezki,svinjina,,1,za 4 osebe,4,Sladana,5.8.2004,2004
Dišeči golaž,sesekljano meso,,1,,,nina1,1.8.2004,2004
Rumeni piščanec,perutnina,,1,za 2-3 osebe,3,nina1,30.7.2004,2004
Boranija - stročji fižol,svinjina,,1,4,4,Katja Katarina,27.7.2004,2004
Ostriž v pečici,ostalo,,1,,,lumpa,17.7.2004,2004
Piščančje prsi s fižolom,perutnina,,3,Za 4 osebe,4,viva88,4.7.2004,2004
Pečeni prozorni rezanci z zelenjavo,mešano meso,,3,4 osebe,4,Marinka,30.6.2004,2004
Govedina na žaru po burmansko,govedina,,1,4 osebe,4,Marinka,30.6.2004,2004
Čufti po domače ali mesne kroglice,sesekljano meso,,1,za 4. osebe,,BUCKA,21.6.2004,2004
Mučkalica,svinjina,60,3,,,matjaž,6.6.2004,2004
Rolada na oko,mešano meso,,1,,,ligojna,4.6.2004,2004
"Piščančji file, nadevan z lešniki in sirom",perutnina,,2,,,lidka,3.6.2004,2004
Svinjski fileji v smetanovi omaki,svinjina,,1,,,Riko,31.5.2004,2004
Nadevana piščančja bedra,perutnina,,3,za 4 osebe,4,kača,29.5.2004,2004
Polnjen krompir,mešano meso,,1,,,ligojna,8.5.2004,2004
Jetrca v omaki,notranji deli,,1,,,Gašper Kukec,6.5.2004,2004
Telečji zrezki z vinom,teletina,,1,4,4,pinki,5.5.2004,2004
Svinjina v gorčični omaki,svinjina,,3,,,ligojna,5.5.2004,2004
Mesni zavitek,sesekljano meso,,3,,,ligojna,2.5.2004,2004
Moje tortilje,mešano meso,,3,,,anja,1.5.2004,2004
Puranji zrezki z orehi,perutnina,,1,,,vcibej,27.4.2004,2004
Jelenji ragu,divjačina,,1,,,Tanči,22.4.2004,2004
Hrenovke v testu,perutnina,,1,,,ligojna,19.4.2004,2004
Mesna rulada s šunko in sirom,perutnina,,1,4,4,dalsi,15.4.2004,2004
Zajček z gobami,ostalo,,1,6 oseb,6,Tanči,12.4.2004,2004
Zavita mesna štruca,ostalo,,3,,,Dragička,9.4.2004,2004
Piščanec z limono,perutnina,,1,,,Sweetie,8.4.2004,2004
Janjček po rimsko,drobnica,,3,,,Riko,5.4.2004,2004
Piščanec iz mikrovalovke,perutnina,,1,,,ligojna,4.4.2004,2004
Svinjski zrezki v hrenovi omaki,svinjina,,1,,,miram,4.4.2004,2004
Puranova rulada,perutnina,,1,,,Katja Katarina,3.4.2004,2004
Tatarski biftek,govedina,,1,,,santina,3.4.2004,2004
Mesno-zelenjavni zavitek,ostalo,,3,,,anja,1.4.2004,2004
Svinjski file v testu,svinjina,,3,,,anja,26.3.2004,2004
Goveji steaki s testeninami v smetanovi omaki s tartufi ,govedina,45,3,,,Matijakuha,10.9.2014,2014
Mesna štruca s krompirjem,mešano meso,60,2,Za 4 osebe,4,April is cooking,7.9.2014,2014
Tortilje po Janino,perutnina,60,2,8 tortilij za 4 osebe,4,janazajc,6.9.2014,2014
Pljučna pečenka s tartufi in tartufinim pirejem,govedina,30,2,2 osebi,2,tomazgas,29.8.2014,2014
Tajski rdeči curry + VIDEO priprave,perutnina,15,1,4,4,ROKCO,29.8.2014,2014
Ocvrt piščanec v pečici (brez glutena),perutnina,30,2,2,2,majacebelica,28.8.2014,2014
Pečene račje prsi,perutnina,45,2,za 5 ne preveč lačnih oseb,,Vrtejbenka,26.8.2014,2014
Divjačinski golaž iz divjega zajca v jušnih skodelicah,divjačina,90,2,za 4 osebe,4,Kajzerica,25.8.2014,2014
Ragu s cmoki,mešano meso,75,2,,,lalinakuhinja,25.8.2014,2014
Polnjena zelenjava,sesekljano meso,75,1,,,SMARTY1,22.8.2014,2014
Pečena polnjena paprika,mešano meso,120,2,12 polnjenih paprik,,ZvonkaK,16.8.2014,2014
Zrezki divjega prašiča ,divjačina,30,3,za 4 osebe,4,Mirko1953,8.8.2014,2014
Pohane hrenovke,ostalo,,1,,,majdi,25.3.2004,2004
Kunec v zelenjavnem pekaču,ostalo,,1,4 osebe,4,malan,23.3.2004,2004
Mozaična pečenka,teletina,,3,,,Riko,22.3.2004,2004
Puranji file z medom,perutnina,,3,4,4,pinki,21.3.2004,2004
Česnovi zrezki,svinjina,,3,2-4 osebe,3,Miškolin,16.3.2004,2004
Judovska pečenka,govedina,,1,,,ribica,13.3.2004,2004
Perutničke malo drugače,perutnina,,1,,,Dragička,11.3.2004,2004
Bržole s papriko,govedina,,3,,,Riko,10.3.2004,2004
Burek,sesekljano meso,,3,6 kosov,6,ales6m,4.3.2004,2004
Porova pita,ostalo,,1,,,Dragička,4.3.2004,2004
Zvitki z zeliščno skuto,perutnina,,3,Za 6 oseb,6,coco chanel,3.3.2004,2004
Čufti v paradižnikovi omaki,mešano meso,,3,4 osebe,4,ligojna,28.2.2004,2004
Ocvt prekajen vrat,svinjina,,1,,,fritz1,25.2.2004,2004
Piščančji file v figovi omaki,perutnina,,1,4,4,fritz1,25.2.2004,2004
Presenečenje,svinjina,,1,4,4,vcibej,18.2.2004,2004
Jagnjetina s čebulo,drobnica,,1,,,anja,11.2.2004,2004
Slonje uho,svinjina,,1,za 4 osebe,4,HELENCA,5.2.2004,2004
Rusko zelje,mešano meso,,1,,,santina,3.2.2004,2004
Kunčja pečenka po francosko v rimskem loncu,ostalo,,3,,,Riko,2.2.2004,2004
Kunec s pivom,ostalo,,3,,,Riko,2.2.2004,2004
Ponev z zeljem in puranom,perutnina,,1,4 osebe,4,djabe,30.1.2004,2004
Tortilje z zelenjavo in mesom,perutnina,,1,za 4 osebe,4,snorci,29.1.2004,2004
Svinjska ribica nadevana z lešniki,svinjina,,1,2 do 3 osebe,3,coco chanel,27.1.2004,2004
Piščančje prsi s sadnim nadevom,perutnina,,1,4 osebe,4,ligojna,25.1.2004,2004
Saltimbocca,teletina,,1,Za 4 osebe,4,coco chanel,24.1.2004,2004
Nadevan krompir,sesekljano meso,,3,4,4,pinki,24.1.2004,2004
Jetra na bordojski način,notranji deli,,1,Za 6 oseb,6,coco chanel,21.1.2004,2004
Zrezek s sirom in gobami,ostalo,,1,2 osebi,2,prezeljca,19.1.2004,2004
Mesno žitni medaljoni,mešano meso,,1,4-5 oseb,5,karmenslo,18.1.2004,2004
Zrezek s kosmiči in mletim mesom,sesekljano meso,,1,,,ligojna,16.1.2004,2004
Ciganski golaž,ostalo,,3,,,Riko,13.1.2004,2004
Ljubljanski zrezek po domače,svinjina,,3,2 osebi,2,prezeljca,7.1.2004,2004
Hrenovke v krompirjevem testu,notranji deli,,1,4 hrenovke,,santina,29.12.2003,2003
Krompirjeva musaka,sesekljano meso,,1,za 4 osebe,4,BUCKA,28.12.2003,2003
Polnjena puranja prsa v testu,perutnina,,3,6 oseb,6,karmenslo,26.12.2003,2003
Sarma,sesekljano meso,,3,6,6,pinki,25.12.2003,2003
Goveji trakovi v omaki,govedina,,1,4,4,pinki,24.12.2003,2003
Pikantni telečji zrezki po cajunsko,teletina,,1,za 4 osebe,4,sarabande,19.12.2003,2003
Pečen riž in špinača s piščancem,perutnina,,1,4 osebe,4,Nataska,13.12.2003,2003
Telečja prsa bogata z nadevom,teletina,,1,za 8 oseb,8,pinki,12.12.2003,2003
